"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.402819292924976","0.487686262693032","0.379800304581339","0.323576197641919","0.598264391416967","1.58652611431531","1.93817780133484","3.31844318968037","4.37308774385413","4.38145622949794","3.33306849551252","2.97359588967048","2.67298474456493",
"Africa Western and Central","AFW","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40329262642225","8.14225193354984","10.6810543679173","6.14999077755878","5.12158487871156","8.14934014088936","12.1395411261031","18.4285806878618","19.2277310187677","41.4158731120765","27.0481920485971","20.9294376480718","33.1233201608334","16.9555400041441","15.3138354305021","13.6303255252845","10.7538688229476","13.2243540363775","9.91704008483762","2.5279809747083","9.69552082407741","5.74113261454767","5.79692014752815","8.21070033303543","8.16256230671596","12.9757157918654","24.4092158090855","38.2657270111209","25.5215502580774","26.4030252565204","32.4364344053484","39.2612530963817",
"Albania","ALB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.29887168674699","2.17526038751346","3.17620015741834","6.63578141560799","2.772776816609","4.65987367498905","15.0161974748103","9.59910407706093","5.3943900631579","4.47813553102625","4.82402747654441","7.4566071862162","5.49953047234335","5.23006115227209","6.21661566608379","8.22934498207676","6.16952039106407","6.73437510304431","7.10165933338233","10.2759278074857","11.8316386968478","14.2378721737508","13.5497566938397","17.5349661440739","33.5242160000424","15.1681195578845","11.1409381354262","20.6974896534476","12.2686089764318","29.8337900243663",
"Andorra","AND","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","34.9000521296099","27.7785756871475","42.5362952246044","23.0106973598225","38.0376645349045","45.8449715332486","50.1737940369041","69.8969149006555","63.6145739792108","60.3268647090716","83.1337160886777","74.53339165596","44.5025369832747","36.4296624323202","37.1369717401225","33.7793151921646","27.6728453974767","31.111797850622","25.2915464677409","30.3130677188758","39.4412588849976","44.1745242902654","51.8036326705337","74.2848592212609","64.2823867302192","49.5813145440098","16.5973754896215","38.2912710004567","29.6758736713401","19.7246312637172","31.5113305616053","12.1114711135311","11.000620925218","21.1725855859086","18.6426233354966","15.6550627866212","14.0601320892901","17.144794973003","20.1697253607257","24.733642858859","34.9283398192354","51.7302547597257","51.5485855961066","50.8588557905061","41.086628253414",
"Armenia","ARM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15348849945235","1.93877045672867","3.15209367385766","9.53574124845219","5.05529476771251","13.2804008315777","13.1730489261958","8.66941155049343","8.41084805331266","9.34720789387768","10.8245440530296","11.4108499984776","7.31949641201404","6.7329552908316","6.66834101867827","11.9873180212173","17.4053324506715","29.7387367053874","24.5841466412015","29.1536221721607","46.3736358587108","31.6996262271868","38.4270953775126","33.1048496686526","26.4180845119003","28.4903047693578","31.1301023688744","34.8613284069874",
"American Samoa","ASM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27522700416419","1.21835403307751","6.63947348002657","2.27690111499043","5.30126873266711","6.35108840555378","5.83286216726765","6.07580085087922","7.18526651152393","5.67398875900182","2.90572307824734","2.01461581077507","1.1904970195509","1.02031268678293","1.56248599580338","1.43303337542673","2.93554038134711","3.41117643403872","5.25721531216736","5.47126343356625","8.96023720795143","9.53685764011544","10.5684138125178","9.89261548458163","8.57623437651063","10.7586384094279",
"Burundi","BDI","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","20.4255256071713","24.5040938448765","41.3257336406696","33.2860705471978","36.4303653576602","43.4141946631594","30.6126873308893","36.5351141504166","36.1977417325758","39.4792352718459","27.6470881017156","53.9558789502707","30.3269959674927","42.3423822998088","48.695124637948","40.8569047892913","50.7753151468144","60.0962310030527","64.2004781181364","134.802812608067","40.5188797225616","20.425639728071","18.5137412133711","11.9807446609147","16.5941477300087","2.40563702301048","4.20705572765574","8.91254534443818","13.7587539898513","13.8641281053951","13.9184942516758","16.0191368282633","9.55400797804711","9.93248139936809","","",
"Belgium","BEL","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","5.23610823810614","4.12194499659127","3.58739534409588","2.35549610905091","3.0833129239603","3.57833842501539","8.36518925768573","4.85855132424344","12.9162005537845","17.5849474230499","16.3673038596937","14.3667417104295","16.1533733419757","8.85952058029358","9.15071469370717","8.8117799504373","9.8645368917304","5.565957088455","5.14408847240911","5.46850236040921","7.09286424799728","7.53879250389059","6.40308387195","9.19681737536165","10.0363212741985","11.1446944479912","13.7567473464573","8.794291829064","9.17448900875832","6.8288304659342","5.08060049607305","6.07335600317587","4.30029608916065","2.64979192187067","1.79178739490092","3.19010979107683","2.56435339265258","2.84035375119619","2.98684395317564","3.18119856206766","2.49504023918935","2.75957355416551","2.98886378557894","3.03114425514082","5.85223387369348","13.8775106350539","",
