"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1060","1140","1240","1340","1470","1560","1680","1850","2070","2320","2760","3580","4650","5540","5980","6660","7540","9620","11460","11180","10380","9600","9270","9360","10820","13810","18070","19300","20630","21810","24520","24870","26140","28190","30090","29560","27970","27080","26790","25290","24970","28020","33750","38720","41460","44510","49110","49000","49610","50590","50060","50700","50370","47450","46200","45030","49030","51390","48020",
"Azerbaijan","AZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","180","240","410","510","570","610","650","710","810","940","1270","1900","2710","3870","4790","5370","5460","6410","7410","7690","6570","4760","4090","4060","4490","4450",
"Burundi","BDI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","80","70","60","50","50","50","70","70","70","80","100","110","120","140","150","180","220","250","240","230","220","240","250","260","250","230","220","220","210","180","160","150","140","150","150","140","130","130","130","120","120","140","150","170","190","200","220","230","250","260","260","260","270","280","280","280","270",
"Belgium","BEL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1450","1530","1670","1800","1950","2100","2270","2510","2790","3080","3640","4690","6000","6910","7580","8220","9560","11730","13980","13190","11180","9430","8860","8820","10170","13090","17010","18030","19310","20580","23170","23410","25090","27070","28550","28450","26530","25980","25860","24430","24000","27030","32810","37730","39900","42700","46470","46840","46950","46400","47100","47880","47800","45540","43360","42460","46060","47960","45180",
"Benin","BEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","110","110","110","120","120","120","120","120","130","160","190","200","210","230","250","310","390","410","360","290","270","260","270","310","360","340","370","380","370","380","330","360","350","380","370","410","480","530","530","600","730","820","860","920","1030","1090","1080","1090","1120","1220","1270","1180","1110","1090","1200","1250","1280",
"Burkina Faso","BFA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","80","80","90","90","90","90","90","90","110","140","160","170","170","200","250","300","300","280","240","210","210","240","270","330","330","330","360","370","360","280","250","250","250","250","270","270","280","270","320","390","460","490","510","570","610","650","680","730","770","760","700","680","670","750","780","790",
"Bangladesh","BGD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","120","160","210","200","170","170","190","230","260","250","230","220","230","250","280","290","300","320","320","330","320","320","340","370","400","420","420","440","440","440","460","510","550","570","610","660","730","800","890","970","1040","1110","1220","1370","1520","1750","1940","2010",
"Bulgaria","BGR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2360","2090","2010","1950","2190","2720","3110","2830","2250","1620","1430","1250","1240","1520","1590","1460","1440","1480","1660","1770","1970","2370","3060","3800","4300","4810","6070","6670","6940","7220","7440","7590","7740","7450","7430","7640","8560","9570","9540",
"Bahrain","BHR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","8520","9150","9310","7900","7230","7700","7800","7660","9070","9800","9890","10030","9680","10380","10790","10310","10070","9870","10940","11500","12060","12940","14570","16550","17890","19660","20860","18830","18970","18160","22010","23790","24070","22580","21570","21250","21910","22170","",
"Bahamas, The","BHS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1650","1760","1900","2040","2230","2450","2760","2920","3110","3190","3740","3840","4640","3120","3360","3720","5200","6050","5790","6360","6640","7700","8510","9400","10800","11710","12440","11870","11330","11550","11310","11600","14260","15930","15180","16810","24150","26360","26560","27190","27770","29270","30570","30760","31090","30960","29010","28370","28030","29020","28440","28000","28400","29210","30900","31990","33460","27780",
